SYST_TRAJ_ID,FLPL_CALL_SIGN,FLPL_NUMB,FLPL_AIRC_TYPE,REQS_FLGT_LEVL,FLPL_DEPR_AIRP,FLPL_ARRV_AIRP,TRANSIT,MODES_ADRESS,FILE_DATE,frontiere_algerienne,premier_plot
202403210000360,FDX5384,623916.0,B77L,,LFPG,VIDP,,11297677.0,20240321,False,0327
202403210002143,CTM2026,596536.0,CN35,,LFOE,GMMD,,3897310.0,20240321,False,0709
202403210004779,FBNFX,,,,,,,3683511.0,20240321,False,0858
202403210005073,AEE638,596832.0,A20N,,LGAV,EGCC,,4634790.0,20240321,False,0913
202403210005727,APX472N,593570.0,C525,,EGKB,LSGG,,4226958.0,20240321,False,0934
202403210006066,IEI2858,625608.0,D228,,LIMG,LIRE,,3407378.0,20240321,False,0945
202403210007463,DLH9AC,607918.0,A321,,LIRF,EDDF,,3958388.0,20240321,False,1027
202403210008639,MODEA_3430,,,,,,,,20240321,False,1106
202403210010664,WZZ67DV,607417.0,A21N,,LEMG,EPWA,,4661052.0,20240321,False,1220
202403210011034,DAL289,,,,,,,10575548.0,20240321,False,1234
202403210013316,EJU70FG,,,,,,,4459711.0,20240321,False,1343
202403210015226,TIE147H,597537.0,BE4W,,LIML,EGLF,,4838148.0,20240321,False,1435
202403210016951,DLH8RX,608545.0,A321,,EDDF,LHBP,,3958386.0,20240321,False,1525
202403210017004,MODEA_5402,,,,,,,,20240321,False,1527
202403210017824,DLH721,609174.0,A343,,ZBAA,EDDF,,3957958.0,20240321,False,1552
202403210020939,TEU6,627887.0,GLF6,,EGLF,LTFM,,5055741.0,20240321,False,1751
202403210021524,MAC228,620629.0,A320,,EDDK,GMTT,,131364.0,20240321,False,1826
202403210021735,EJU423Q,616127.0,A320,,LFPO,LFBO,,4456592.0,20240321,False,1838
202403210022195,RUK99NN,609542.0,B738,,LEMG,EGCC,,4226846.0,20240321,False,1908
202403210023376,FGBTU,,,,,,,3737204.0,20240321,False,2025
202403210024210,VLG3ED,615042.0,A320,,LEVX,LEBL,,3425235.0,20240321,False,2142
202403210000377,TAY3RQ,604049.0,B734,,LFPG,EDDN,,4456711.0,20240321,False,0334
202403210001702,VLG9KK,614965.0,A320,,LEBL,LPPT,,3428616.0,20240321,False,0640
202403210001941,LWI221,617517.0,E190,,LIBF,LIMC,,4633316.0,20240321,False,0656
202403210002318,HBZJP,,,,,,,4932349.0,20240321,False,0719
202403210002961,EIN680,614021.0,A320,,EIDW,LSGG,,5024045.0,20240321,False,0756
202403210004971,TUI32X,,,,,,,3935402.0,20240321,False,0910
202403210005009,REV952,592280.0,BE20,,EGJJ,EGNJ,,4224766.0,20240321,False,0911
202403210005011,GCTCG,3634.0,DA42,,LFRM,LFOT,,4197635.0,20240321,False,0911
202403210006429,EJU51BU,609342.0,A319,,EKCH,LFMN,,4456816.0,20240321,False,0956
202403210008121,DMBCL,,,,,,,4190640.0,20240321,False,1050
202403210009287,FMY8731,,,,,,,3770028.0,20240321,False,1125
202403210009856,FMBJD,,,,,,,3844980.0,20240321,False,1151
202403210010836,DLH252,620452.0,A320,,EDDF,LIMC,,3958323.0,20240321,False,1226
202403210011117,FHCDI,,,,,,,3770472.0,20240321,False,1237
202403210011307,VJH398,623908.0,C56X,,EGKB,LFMN,,3981508.0,20240321,False,1243
202403210012559,AFR54M,627497.0,B77W,,LFPG,KIAD,,3754507.0,20240321,False,1322
202403210014070,MODEA_7000,,,,,,,,20240321,False,1403
202403210015663,FJEDQ,,,,,,,3798268.0,20240321,False,1447
202403210017150,THY7PB,618068.0,A321,,LTFM,ELLX,,4958810.0,20240321,False,1531
202403210017965,FPTRO,,,,,,,3712923.0,20240321,False,1550
202403210018075,MODEA_7000,,,,,,,,20240321,False,1601
202403210020590,AFR1440,605904.0,BCS3,,LFPG,EHAM,,3794574.0,20240321,False,1733
202403210023764,VOE2701,658476.0,A320,,EGKK,LFST,,3434004.0,20240321,False,2054
202403210000032,MODEA_300,,,,,,,,20240321,False,1829
202403210000874,TAY6SR,612062.0,B738,,EDDF,LRTR,,4459361.0,20240321,False,0539
202403210001485,DLH66N,610949.0,A320,,EDDM,LFPG,,3958453.0,20240321,False,0626
202403210002808,VLG94VK,607185.0,A20N,,LEBB,LEAL,,3432587.0,20240321,False,0749
202403210003191,AFR4081,620719.0,B77W,,KIAD,LFPG,,3754517.0,20240321,False,0807
202403210006474,FJKPE,,,,,,,3699260.0,20240321,False,0957
202403210006550,RYR4UY,618037.0,B738,,GMMX,LFBO,,5054997.0,20240321,False,1000
202403210006893,EJU758D,614821.0,A320,,LIMC,LICC,,4459951.0,20240321,False,1010
202403210007289,MODEA_6021,,,,,,,,20240321,False,1021
202403210008088,MODEA_7035,,,,,,,,20240321,False,1048
202403210008571,BEL3CM,608218.0,A320,,EBBR,LEMG,,4509128.0,20240321,False,1104
202403210008782,GWHRL,,,,,,,4206919.0,20240321,False,1110
202403210012179,FHPMI,,,,,,,3784072.0,20240321,False,1310
202403210013439,THY8AE,627609.0,A21N,,LSGG,LTFM,,4960905.0,20240321,False,1346
202403210015678,REV900,592325.0,BE20,,EGKB,EGPH,,4224766.0,20240321,False,1448
202403210019123,FHNNY,,,,,,,3782072.0,20240321,False,1637
202403210019201,RYR922T,615880.0,B738,,EDDW,LEPA,,5022296.0,20240321,False,1640
202403210019509,MODEA_7000,,,,,,,,20240321,False,1651
202403210020253,UAE9923,612606.0,B77L,,EGLL,EDDF,,9003938.0,20240321,False,1718
202403210022789,AFR1714,602814.0,E190,,LFLL,LFBO,,3769712.0,20240321,False,1948
202403210022943,VLG6VX,603933.0,A320,,LEPA,LEBL,,3425237.0,20240321,False,1949
202403210023902,RYR87XF,609852.0,B738,,GCLP,LIPE,,5055012.0,20240321,False,2108
202403210024217,VLG4NN,608730.0,A320,,LIPE,LEBL,,3425939.0,20240321,False,2143
202403210000348,TAY9LA,608187.0,B734,,LFPG,LIRF,,4456638.0,20240321,False,0321
202403210002898,NBT32Q,600392.0,B789,,KMIA,LFPG,,4698414.0,20240321,False,0753
202403210003412,RYR63M,616271.0,B738,,EGSS,LZIB,,4768053.0,20240321,False,0816
202403210005761,VKG628,606609.0,A333,,ESSA,GVAC,,4577641.0,20240321,False,0936
202403210007528,DLA06T,620311.0,E195,,EDDM,LFLL,,3147095.0,20240321,False,1030
202403210008765,FGJZI,,,,,,,3745576.0,20240321,False,1110
202403210008833,MEECMQV,,,,,,,3429636.0,20240321,False,1110
202403210008884,MODES_3369406,,,,,,,3369406.0,20240321,False,1114
202403210008960,INFERN10,,,,,,,4441965.0,20240321,False,1117
202403210009099,RYR33,627853.0,B738,,LFOB,LGAV,,5023830.0,20240321,False,1121
202403210012822,MODEA_1467,,,,,,,,20240321,False,1329
202403210013134,FJALR,,,,,,,3713565.0,20240321,False,1338
202403210013745,HBPZR,,,,,,,4926007.0,20240321,False,1354
202403210015333,FBOKF,,,,,,,3684677.0,20240321,False,1438
