Sequence number,Code,Time of departure/entry,Departure aerodrome,Arrival aerodrome,Flight identification,Main Exemption code,Type of aircraft,Operator,Aircraft Registration,Comment1,Flight date,IFPLID,Planned_aerodrome,Charging_zone_overflow,Entry_point,Exit_point,Sup_exemption_code,Source of the Aircraft Address,24-bit Aircraft Address,Comment2
72366,F,549,LFSB,LEMG,EZS95EG  ,Z,A320   ,Z  ,HBJXO    ,,240316,AA56945553,,,,,,,,
72368,F,549,LFLL,EHAM,KLM36M   ,Z,B738   ,Z  ,PHBXU    ,,240316,AA56939844,,,,,,,,
72373,F,643,LFMN,EGLL,AFR24YR  ,Z,A320   ,Z  ,FGKXG    ,,240316,AA56948366,,,,,,,,
72379,F,559,LFSB,EGKK,EZS39TY  ,Z,A320   ,Z  ,HBJXE    ,,240316,AA56940161,,,,,,,,
72391,F,709,LFML,EBCI,RYR43JZ  ,Z,B738   ,Z  ,9HQDQ    ,,240316,AA56947849,,,,,,,,
72398,F,607,LFSB,EGLL,BAW751   ,Z,A319   ,Z  ,GDBCB    ,,240316,AA56938922,,,,,,,,
72399,F,621,LFBO,EBBR,BEL76T   ,Z,A319   ,Z  ,OOSSU    ,,240316,AA56945309,,,,,,,,
72401,F,603,LFPG,LIPZ,EJU81YD  ,Z,A320   ,Z  ,OEICT    ,,240316,AA56940370,,,,,,,,
72404,F,611,LFSB,LEST,EZS20CD  ,Z,A20N   ,Z  ,HBAYM    ,,240316,AA56940340,,,,,,,,
72413,F,1311,HKJK,EGLL,KQA100   ,Z,B788   ,Z  ,5YKZA    ,,240316,AA56947526,,,,,,,,
72421,F,604,LFOB,EIDW,RYR7TU   ,Z,B738   ,Z  ,9HQEE    ,,240316,AA56948045,,,,,,,,
72430,F,618,LFPO,EIDW,TVF49GM  ,Z,B738   ,Z  ,FGZHK    ,,240316,AA56942187,,,,,,,,
72434,F,621,LFQQ,GCTS,VOE2732  ,Z,A320   ,Z  ,ECNOR    ,,240316,AA56942107,,,,,,,,
