FLPL_CALL_SIGN,FLPL_AIRC_TYPE,FLPL_DEPR_AIRP,FLPL_ARRV_AIRP,MODES_ADRESS,FILE_DATE,Time of departure/entry,Departure aerodrome,Arrival aerodrome,Type of aircraft,Main Exemption code,Aircraft Registration,IFPLID,Mode S,Type Avion Survol
FAF6515,PC21,LFBD,LFBG,3B75F7,2024-03-19,2010.0,LFBD,LFBG,PC21,M,FRBFJ    ,AA57048301,345692,PC21
FAF6515,PC21,LFBG,LFBD,3B75F7,2024-03-19,2010.0,LFBD,LFBG,PC21,M,FRBFJ    ,AA57048301,345692,PC21
RGA02,,,,4B43AB,2024-03-19,1403.0,LFSB,LFSB,EC45,Z,HBZQH    ,AA57046589,,EC45
RGA02,,,,4B43AB,2024-03-19,1403.0,LFSB,LFSB,EC45,Z,HBZQH    ,AA57046589,,EC45
RGA02,EC45,LFSB,LFSB,4B43AB,2024-03-19,1403.0,LFSB,LFSB,EC45,Z,HBZQH    ,AA57046589,,EC45
RGA02,,,,4B43AB,2024-03-19,1403.0,LFSB,LFSB,EC45,Z,HBZQH    ,AA57046589,,EC45
RGA02,,,,4B43AB,2024-03-19,1403.0,LFSB,LFSB,EC45,Z,HBZQH    ,AA57046589,,EC45
RGA02,,,,4B43AB,2024-03-19,1403.0,LFSB,LFSB,EC45,Z,HBZQH    ,AA57046589,,EC45
RGA02,,,,4B43AB,2024-03-19,1403.0,LFSB,LFSB,EC45,Z,HBZQH    ,AA57046589,,EC45
RGA02,,,,4B43AB,2024-03-19,1403.0,LFSB,LFSB,EC45,Z,HBZQH    ,AA57046589,,EC45
RGA02,,,,4B43AB,2024-03-19,1403.0,LFSB,LFSB,EC45,Z,HBZQH    ,AA57046589,,EC45
RGA02,,,,4B43AB,2024-03-19,1403.0,LFSB,LFSB,EC45,Z,HBZQH    ,AA57046589,,EC45
RGA02,EC45,EDTF,LFSB,4B43AB,2024-03-19,1403.0,LFSB,LFSB,EC45,Z,HBZQH    ,AA57046589,,EC45
RGA02,,,,4B43AB,2024-03-19,1403.0,LFSB,LFSB,EC45,Z,HBZQH    ,AA57046589,,EC45
FHCHV,EC35,LFBU,LFBU,3988F5,2024-03-19,855.0,LFBU,LFBU,EC35,Z,FHCHV    ,AA57023232,,EC35
FHCHV,EC35,LFBU,LFBU,3988F5,2024-03-19,1100.0,LFBU,LFBU,EC35,Z,FHCHV    ,AA57027869,,EC35
FHCHV,EC35,LFBU,LFBU,3988F5,2024-03-19,855.0,LFBU,LFBU,EC35,Z,FHCHV    ,AA57023232,,EC35
FHCHV,EC35,LFBU,LFBU,3988F5,2024-03-19,1100.0,LFBU,LFBU,EC35,Z,FHCHV    ,AA57027869,,EC35
FHCHV,EC35,LFBU,LFBU,3988F5,2024-03-19,855.0,LFBU,LFBU,EC35,Z,FHCHV    ,AA57023232,,EC35
FHCHV,EC35,LFBU,LFBU,3988F5,2024-03-19,1100.0,LFBU,LFBU,EC35,Z,FHCHV    ,AA57027869,,EC35
FHCHV,EC35,LFBL,LFBU,3988F5,2024-03-21,1511.0,LFBL,LFBU,EC35,T,FHCHV    ,AA57103917,,EC35
FHCHV,EC35,LFBU,LFBL,3988F5,2024-03-21,1511.0,LFBL,LFBU,EC35,T,FHCHV    ,AA57103917,,EC35
FHCHV,EC35,LFBU,LFBL,3988F5,2024-03-21,1511.0,LFBL,LFBU,EC35,T,FHCHV    ,AA57103917,,EC35
FHCHV,EC35,LFBL,LFBU,3988F5,2024-03-21,1511.0,LFBL,LFBU,EC35,T,FHCHV    ,AA57103917,,EC35
FHCHV,EC35,LFBU,LFBL,3988F5,2024-03-21,1511.0,LFBL,LFBU,EC35,T,FHCHV    ,AA57103917,,EC35
AXY224P,E190,LFLB,LTFM,4D2443,2024-03-19,1250.0,LFLB,LTFM,E190,Z,9HDEE    ,AA57043729,,E190
HRN121,C525,LFMN,LFMD,3E3735,2024-03-19,1725.0,LFMN,LFMD,C525,Z,DIMCJ    ,AA57047906,,C525
DLH561,A333,FNLU,EDDF,3C656D,2024-03-19,405.0,FNLU,EDDF,A333,Z,DAIKM    ,AA57024337,,A333
DLH561,A333,FNLU,EDDF,3C656D,2024-03-21,417.0,FNLU,EDDF,A333,Z,DAIKM    ,AA57078410,,A333
QTR8233,B77L,DAAG,EDDF,06A081,2024-03-19,1510.0,DAAG,EDDF,B77L,Z,A7BFC    ,AA57041656,,B77L
ITY681,A359,SAEZ,LIRF,4CAD44,2024-03-19,355.0,SAEZ,LIRF,A359,Z,EIIFA    ,AA57016594,,A359
ARL226,SW3,LFBO,LFLU,391AA6,2024-03-19,1730.0,LFLU,LFBD,SW3,Z,FGGVG    ,AA57048894,,SW3
ARL226,SW3,LFLU,LFBD,391AA6,2024-03-19,1730.0,LFLU,LFBD,SW3,Z,FGGVG    ,AA57048894,,SW3
ARL226,SW3,LFBD,LPFR,391AA6,2024-03-19,1730.0,LFLU,LFBD,SW3,Z,FGGVG    ,AA57048894,,SW3
ARL226,SW3,LPFR,LFBO,391AA6,2024-03-19,1730.0,LFLU,LFBD,SW3,Z,FGGVG    ,AA57048894,,SW3
EVX42LY,,,,381C1A,2024-03-19,1310.0,LFBO,LFBO,AT46,E,FWWLY    ,         ,,AT46
DAH2840,B738,DAAG,LHSM,0A0018,2024-03-19,755.0,DAAG,LHSM,B738,Z,7TVJJ    ,AA57026698,,B738
FMJBI,EC45,LFRN,LFRM,3AAC0C,2024-03-19,1011.0,LFRZ,LFRN,EC45,M,FMJBI    ,AA57041339,4CA643,EC45
FMJBI,EC45,LFRZ,LFRN,3AAC0C,2024-03-19,1011.0,LFRZ,LFRN,EC45,M,FMJBI    ,AA57041339,4CA643,EC45
7TVNM,C56X,DAUH,LIML,0A0097,2024-03-19,940.0,DAUH,LIML,C56X,Z,7TVNM    ,AA57010408,,C56X
7TVNM,C56X,LIML,DAUH,0A0097,2024-03-19,940.0,DAUH,LIML,C56X,Z,7TVNM    ,AA57010408,,C56X
AIB25WG,C650,LFBO,LFBC,396F5B,2024-03-19,1235.0,LFBO,LFBC,C650,E,FWXWG    ,AA57041959,38FCDC,C650
