compare	Code_1	Code_2	Time of departure/entry_1	Time of departure/entry_2	Departure aerodrome_1	Departure aerodrome_2	Arrival aerodrome_1	Arrival aerodrome_2	Flight identification_1	Flight identification_2	Main Exemption code_1	Main Exemption code_2	Type of aircraft_1	Type of aircraft_2	Operator_1	Operator_2	Aircraft Registration_1	Aircraft Registration_2	Comment1_1	Comment1_2	Flight date_1	Flight date_2	IFPLID_1	IFPLID_2	Planned_aerodrome_1	Planned_aerodrome_2	Charging_zone_overflow_1	Charging_zone_overflow_2	Entry_point_1	Entry_point_2	Exit_point_1	Exit_point_2	Sup_exemption_code_1	Sup_exemption_code_2	Source of the Aircraft Address_1	Source of the Aircraft Address_2	24-bit Aircraft Address_1	24-bit Aircraft Address_2	Comment2_1	Comment2_2
0	F	F	614	627	LIML	LIML	LFPG	LFPG	AFR68NX  	AFR68NX  	Z	Z	BCS3   	BCS3   	Z  	Z  	FHZUV    	FHZUT    			      	240316	AA56919616	AA56948381												3.0		39E693		
0	F	F	629	539	EKBI	EKBI	LFPG	LFPG	AFR34GP  	AFR34GP  	Z	Z	E190   	E170   	Z  	Z  	FHBLH    	FHBXA    			      	240316	AA56897836	AA56927173												1.0		3986E0		
0	F	F	605	614	LFPG	LFPG	LSGG	LSGG	AFR1542  	AFR1542  	Z	Z	BCS3   	BCS3   	Z  	Z  	FHZUB    	FHZUG    			      	240316	AA56920005	AA56948718												1.0		39E686		
0	F	F	623	627	LSGG	LSGG	LFPG	LFPG	AFR35AM  	AFR35AM  	Z	Z	BCS3   	BCS3   	Z  	Z  	FHPNG    	FHZUI    			      	240316	AA56920497	AA56949111																
0	F	F	714	624	KORD	KORD	LFPG	LFPG	AFR137   	AFR137   	Z	Z	A359   	A359   	Z  	Z  	FHUVE    	FHUVC    			      	240316	AA56916091	AA56944601												3.0		39D2A2		
0	F	F	628	520	LIRN	LIRN	LFPG	LFPG	AFR59YU  	AFR59YU  	Z	Z	E190   	E190   	Z  	Z  	FHBLG    	FHBLI    			      	240316	AA56897856	AA56926797												3.0		398568		
0	F	F	620	524	LFPO	LFPO	GMAD	GMAD	TVF57UK  	TVF57UK  	Z	Z	B738   	B738   	Z  	Z  	FHTVU    	FHTVD    			      	240316	AA56913071	AA56941384												1.0		39CEA3		
0	F	F	646	510	LIRP	LIRP	LFOB	LFOB	RYR98AP  	RYR98AP  	Z	Z	B38M   	B738   	Z  	Z  	9HVVG    	9HQAB    			      	240316	AA56919844	AA56947661												3.0		4D21EA		
0	F	F	640	641	ELLX	ELLX	LFPG	LFPG	LGL81P   	LGL81P   	Z	Z	DH8D   	DH8D   	Z  	Z  	LXLQA    	LXLQJ    			      	240316	AA56898996	AA56928901																
0	F	F	628	611	EGGW	EGGW	LMML	LMML	RYR5GY   	RYR5GY   	Z	Z	B738   	B738   	Z  	Z  	EIEVH    	EIEKN    			      	240316	AA56919384	AA56948387												3.0		4CA80E		
0	F	F	646	533	LHBP	LHBP	LFPG	LFPG	AFR18PL  	AFR18PL  	Z	Z	A321   	A321   	Z  	Z  	FGTAD    	FGTAY    			      	240316	AA56918884	AA56947715																
0	F	F	654	528	LOWW	LOWW	LFOB	LFOB	RYR9ND   	RYR9ND   	Z	Z	A320   	A320   	Z  	Z  	9HIBJ    	9HLOI    			      	240316	AA56919051	AA56947118												3.0		4D22B4		
0	F	F	636	635	EGCC	EGCC	LFPG	LFPG	AFR57UM  	AFR57UM  	Z	Z	BCS3   	BCS3   	Z  	Z  	FHZUK    	FHZUV    			      	240316	AA56919840	AA56948566												3.0		39E695		
0	F	F	650	457	CYUL	CYUL	LFPG	LFPG	ACA874   	ACA874   	Z	Z	A333   	A333   	Z  	Z  	CGHKX    	CGHKR    			      	240316	AA56914302	AA56943934												3.0		C0583A		
0	F	F	652	652	EHAM	EHAM	LFPG	LFPG	KLM13P   	KLM13P   	Z	Z	B738   	B738   	Z  	Z  	PHBXY    	PHBXV    			      	240316	AA56919709	AA56948464												1.0		4844C6		
0	F	F	615	649	LFBZ	LFBZ	LFPG	LFPG	AFR43YQ  	AFR43YQ  	Z	Z	E190   	E190   	Z  	Z  	FHBLE    	FHBLK    			      	240316	AA56917667	AA56947103												1.0		39856A		
0	F	F	624	654	EGGW	EGGW	LEAL	LEAL	RYR76XA  	RYR76XA  	Z	Z	B38M   	B38M   	Z  	Z  	EIHMW    	EIIFT    			      	240316	AA56919204	AA56946829												3.0		4CADA3		
0	F	F	650	634	EIDW	EIDW	LFPG	LFPG	AFR63GT  	AFR63GT  	Z	Z	BCS3   	BCS3   	Z  	Z  	FHZUJ    	FHZUE    			      	240316	AA56919874	AA56948585																
0	F	F	630	658	LFBO	LFBO	LFPO	LFPO	AFR68HP  	AFR68HP  	Z	Z	A318   	A320   	Z  	Z  	FGUGN    	FHBNB    			      	240316	AA56911990	AA56950009												1.0		3985A1		
0	F	F	705	639	LFPO	LFPO	LIRN	LIRN	EJU69BT  	EJU69BT  	Z	Z	A320   	A320   	Z  	Z  	OEIVL    	OEIVT    			      	240316	AA56914091	AA56940960												1.0		4400EB		
